rank,title,severity,surface,effort,effort_days,pxl_score,pxl_max,verified,impact,summary,problem,recommended_change,evidence,analysts_agreeing,opportunity_low,opportunity_high,opportunity_basis,sample_per_variant,test_days,detail_page
1,Competing primary CTAs,URGENT,Homepage,Medium,2-5 days,5,10,no,conversion,"The hero presents two equally prominent CTAs, splitting user attention and diluting the primary conversion path.","The hero presents two equally prominent CTAs, splitting user attention and diluting the primary conversion path.",h1: Wildly Comfortable. Super Natural.; cta: SHOP ALL; notes: Single primary CTA to reduce choice overload; secondary links can be in nav.,"Hero section contains both 'SHOP MEN' and 'SHOP WOMEN' CTAs, with no single primary action. | H1: 'Wildly Comfortable. Super Natural.' CTAs: 'SHOP MEN', 'SHOP WOMEN'","Funnel-Path & Commerce Clarity, Message Clarity, Nav & Distraction",70762,283046,"2,160,000 annual visits x 2.10% conversion x 2.0-8.0% relative lift x $78 order value",118817,40,finding_1_competing_primary_ctas.html
2,Vague hero copy,URGENT,Homepage,Low,0.5-2 days,5,10,no,conversion,"The hero headline 'Wildly Comfortable. Super Natural.' is brand-speak that doesn't address the visitor's immediate need to find comfortable, sustainable shoes, and the CTAs force an unnecessary gender choice.","The hero headline 'Wildly Comfortable. Super Natural.' is brand-speak that doesn't address the visitor's immediate need to find comfortable, sustainable shoes, and the CTAs 'SHOP MEN' and 'SHOP WOMEN' force an unnecessary gender choice before seeing products.","h1: Comfortable Shoes, Made from Natural Materials; cta: Shop All Shoes; notes: Plain-language headline that directly addresses the visitor's likely intent (comfort + sustainability). A single 'Shop All Shoes' CTA reduces friction and lets the visitor browse without committing to a gender.","H1: 'Wildly Comfortable. Super Natural.' CTAs: 'SHOP MEN', 'SHOP WOMEN'",Message Clarity,70762,283046,"2,160,000 annual visits x 2.10% conversion x 2.0-8.0% relative lift x $78 order value",118817,40,finding_2_vague_hero_copy.html
3,Shipping delay warning,URGENT,Homepage,Medium,2-5 days,5,10,no,conversion,"The prominent shipping delay notice creates immediate purchase anxiety, undermining the hero's comfort message and increasing cart abandonment.","The prominent shipping delay notice creates immediate purchase anxiety, undermining the hero's comfort message and increasing cart abandonment.",h1: Wildly Comfortable. Super Natural.; cta: SHOP MEN / SHOP WOMEN; notes: Soften the delay with a reassurance line: 'Free shipping & 30-day returns' or 'Orders ship within 30 days – free returns if not perfect.',"Body sample: 'Due to increased demand, orders may take up to 30 days to ship.'",Trust & Objection,70762,283046,"2,160,000 annual visits x 2.10% conversion x 2.0-8.0% relative lift x $78 order value",118817,40,finding_3_shipping_delay_warning.html
4,Free shipping threshold hidden,URGENT,Homepage,Low,0.5-2 days,5,10,no,conversion|trust,"The homepage hero promotes 'Wildly Comfortable. Super Natural.' without any mention of the $100 free shipping threshold, which is only disclosed in the sitewide banner and cart, creating an expectation gap that may lead to cart abandonment.","The homepage hero promotes 'Wildly Comfortable. Super Natural.' without any mention of the $100 free shipping threshold, which is only disclosed in the sitewide banner and cart, creating an expectation gap that may lead to cart abandonment.",h1: Wildly Comfortable. Super Natural. Free Shipping Over $100.; cta: SHOP MEN / SHOP WOMEN; notes: Add free shipping threshold to hero or subheadline to set expectations early.,"Homepage body sample includes 'Free ground shipping on orders over $100' in the top banner, but the hero H1 is 'Wildly Comfortable. Super Natural.' with CTAs 'SHOP MEN' and 'SHOP WOMEN' that do not reference shipping. The cart drawer shows 'Spend more to earn free shipping! Shipping $5.00'.",Pricing Transparency,70762,283046,"2,160,000 annual visits x 2.10% conversion x 2.0-8.0% relative lift x $78 order value",118817,40,finding_4_free_shipping_threshold_hidden.html
5,Mega-menu choice overload,HIGH,Navigation,Medium,2-5 days,5,10,no,conversion,"The mega-menu presents 20+ nav items with multiple sub-levels, risking choice overload and decision paralysis for users.","The mega-menu presents 20+ nav items with multiple sub-levels, risking choice overload and decision paralysis for users.",h1: Wildly Comfortable. Super Natural.; cta: SHOP MEN / SHOP WOMEN; notes: Simplify mega-menu to top 5-7 categories with clear hierarchy; use descriptive sub-links sparingly.,"nav_items list includes 20+ items: 'New Arrivals', 'Shop All', 'Bestsellers', 'LEATHER ALTERNATIVES', 'Men's Shoes', 'Sneakers', 'Slip Ons', 'Sandals', 'Active', 'All-Weather', 'Runner NZ', 'Cruiser', 'Tree Runner NZ', 'Socks', 'Men's Apparel', 'Women's Shoes', 'Trainers', 'Flats', 'Canvas Cruiser', 'Women's Apparel'.",Nav & Distraction,35381,176904,"2,160,000 annual visits x 2.10% conversion x 1.0-5.0% relative lift x $78 order value",299882,100,finding_5_mega_menu_choice_overload.html
6,Hero CTA ambiguity,HIGH,Homepage,Medium,2-5 days,5,10,no,conversion,"The hero section's CTAs 'SHOP MEN' and 'SHOP WOMEN' are generic and may not guide users to the most relevant products, reducing click-through.","The hero section's CTAs 'SHOP MEN' and 'SHOP WOMEN' are generic and may not guide users to the most relevant products, reducing click-through.",h1: Wildly Comfortable. Super Natural.; cta: Shop New Arrivals / Shop Bestsellers; notes: Use CTAs that direct to specific high-intent collections to reduce ambiguity and increase click-through.,"Hero section contains 'SHOP MEN' and 'SHOP WOMEN' as primary CTAs, with no specific product or collection mentioned.",Nav & Distraction,35381,176904,"2,160,000 annual visits x 2.10% conversion x 1.0-5.0% relative lift x $78 order value",299882,100,finding_6_hero_cta_ambiguity.html
7,Hidden cost: shipping threshold,HIGH,Product Page,Medium,2-5 days,4,10,no,conversion,"The product page does not display the $100 free shipping threshold, creating a hidden cost that may deter purchase.","The product page does not display the $100 free shipping threshold, creating a hidden cost that may deter purchase.","h1: Anytime Ankle Sock; cta: Add to Cart; notes: Display price and free shipping threshold (e.g., 'Free shipping over $100') to reduce uncertainty.",Product page shows 'Get Notified' CTA and no price or shipping information; site-wide banner mentions free shipping over $100 but not on PDP.,Funnel-Path & Commerce Clarity,35381,176904,"2,160,000 annual visits x 2.10% conversion x 1.0-5.0% relative lift x $78 order value",299882,100,finding_7_hidden_cost_shipping_threshold.html
8,Out-of-stock notification form,HIGH,Product Page,Medium,2-5 days,4,10,no,conversion,"The product page for the Anytime Ankle Sock shows a 'Get Notified' CTA, indicating the item is out of stock, but the form likely only captures an email, missing the opportunity to capture size preference and reduce friction for back-in-stock alerts.","The product page for the Anytime Ankle Sock shows a 'Get Notified' CTA, indicating the item is out of stock, but the form likely only captures an email, missing the opportunity to capture size preference and reduce friction for back-in-stock alerts.",h1: Anytime Ankle Sock; cta: Get Notified; notes: Add a size selector (or pre-filled from product page) and a note like 'We'll email you when this size is back in stock' to capture intent and reduce friction for the customer.,"The product page CTAs include 'Get Notified' (from inventory: ctas: ['Shop All', 'Get Notified', 'Learn More', 'Sign Up', 'Shop + -']). The page also has a form with 1 input (likely email) and no labels (from inventory: forms: [{n_inputs: 1, labels: [], submit: 'Sign Up'}]).",Form / Friction,35381,176904,"2,160,000 annual visits x 2.10% conversion x 1.0-5.0% relative lift x $78 order value",299882,100,finding_8_out_of_stock_notification_form.html
9,Half-size guidance hidden,HIGH,Pricing & Plans,Medium,2-5 days,4,10,no,conversion|trust,"The product page for Anytime Ankle Sock does not display a price or size selector in the rendered crawl, and the collection page's size filter note about half sizes is only in fine print, creating a potential expectation gap for customers expecting standard sizing.","The product page for Anytime Ankle Sock does not display a price or size selector in the rendered crawl, and the collection page's size filter note about half sizes is only in fine print, creating a potential expectation gap for customers expecting standard sizing.",h1: Anytime Ankle Sock; cta: Add to Cart; notes: Ensure price and size selector are visible on product page; add half-size guidance near size selection.,"The product page inventory shows no prices or size selector in the body sample, and the direct_signals for the product page are not provided (only for other pages). The collection page body sample includes 'Most of our shoes only come in full sizes. If you're a half size, select your nearest whole size too.' in the filter section, which is not prominent on product pages.",Pricing Transparency,35381,176904,"2,160,000 annual visits x 2.10% conversion x 1.0-5.0% relative lift x $78 order value",299882,100,finding_9_half_size_guidance_hidden.html
10,Single-field email capture,HIGH,Forms & Signup,Low,0.5-2 days,3,10,no,conversion,"The homepage email signup form asks only for an email address, which is the minimum viable field set for a cold capture, but it lacks a trust layer (e.g., privacy note, incentive) that could reduce friction and increase conversions.","The homepage email signup form asks only for an email address, which is the minimum viable field set for a cold capture, but it lacks a trust layer (e.g., privacy note, incentive) that could reduce friction and increase conversions.","h1: Wildly Comfortable. Super Natural.; cta: Sign Up for 10% Off; notes: Add a clear incentive (e.g., 'Get 10% off your first order') and a microcopy trust line (e.g., 'No spam, unsubscribe anytime') to increase signup conversion.","The homepage has a form with 1 input, no labels, and submit button 'Sign Up' (from inventory: forms: [{n_inputs: 1, labels: [], submit: 'Sign Up'}]).",Form / Friction,35381,176904,"2,160,000 annual visits x 2.10% conversion x 1.0-5.0% relative lift x $78 order value",299882,100,finding_10_single_field_email_capture.html
